epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3657,1.88368,2.88533,1.81615,0.00048,0.05118,0.00031,8e-05,3.4659,inf,31.1254,0.070566,0.00327044,0.00327044
2,128.188,2.01583,2.32452,1.96562,0.00511,0.19872,0.00331,0.00104,3.23774,inf,5.12998,0.0404472,0.00648491,0.00648491
3,189.883,1.97162,2.06769,1.92133,0.05101,0.25847,0.02267,0.00487,3.29199,135.475,5.36889,0.0102083,0.00957937,0.00957937
4,252.205,1.91184,1.95886,1.86518,0.10306,0.07663,0.03922,0.01734,3.54635,8.52581,4.23452,0.00946,0.00946,0.00946
5,313.914,1.87722,1.90391,1.8655,0.15234,0.19706,0.0607,0.02845,3.08866,7.09767,3.48455,0.00928,0.00928,0.00928
6,375.109,1.76002,1.72497,1.75698,0.56565,0.47213,0.55498,0.32377,1.7343,1.94353,1.81289,0.0091,0.0091,0.0091
7,437.518,1.74247,1.74459,1.75396,0.65094,0.57226,0.61306,0.3173,1.81022,2.39943,1.82186,0.00892,0.00892,0.00892
8,499.38,1.72356,1.68434,1.7304,0.55873,0.54205,0.52218,0.24851,1.87298,2.24444,1.85298,0.00874,0.00874,0.00874
9,560.081,1.67876,1.55247,1.68439,0.69619,0.54997,0.60021,0.29288,2.008,1.58951,1.96317,0.00856,0.00856,0.00856
10,620.975,1.68089,1.56205,1.70832,0.68434,0.64155,0.64856,0.37864,1.70664,1.53624,1.76143,0.00838,0.00838,0.00838
11,682.884,1.60526,1.49887,1.63286,0.47193,0.36011,0.4051,0.18345,2.36902,3.89932,2.46947,0.0082,0.0082,0.0082
12,744.42,1.59665,1.44184,1.62017,0.75359,0.57981,0.64955,0.39624,1.59019,1.77599,1.61552,0.00802,0.00802,0.00802
13,806.385,1.57606,1.33646,1.57139,0.64586,0.55792,0.60557,0.32142,1.82239,1.69661,1.78738,0.00784,0.00784,0.00784
14,868.003,1.56232,1.40054,1.58871,0.75038,0.59884,0.66852,0.34488,1.82863,1.65558,1.75492,0.00766,0.00766,0.00766
15,928.795,1.55089,1.35556,1.57469,0.87443,0.59888,0.73297,0.41884,1.6303,1.30163,1.60911,0.00748,0.00748,0.00748
16,989.901,1.53215,1.33337,1.57248,0.7719,0.68641,0.73299,0.38403,1.76672,1.29626,1.68124,0.0073,0.0073,0.0073
17,1050.52,1.48777,1.31293,1.52407,0.81621,0.63734,0.70193,0.38461,1.77161,1.415,1.72151,0.00712,0.00712,0.00712
18,1110.95,1.44385,1.17558,1.48954,0.52709,0.34865,0.3793,0.21541,2.09282,3.64007,2.23637,0.00694,0.00694,0.00694
19,1172.05,1.45619,1.19047,1.51851,0.84121,0.63232,0.71978,0.39142,1.70791,1.40224,1.63854,0.00676,0.00676,0.00676
20,1234.72,1.44727,1.19984,1.50751,0.83366,0.72677,0.77629,0.43094,1.68896,1.18717,1.59737,0.00658,0.00658,0.00658
21,1296.08,1.40408,1.15441,1.46467,0.82459,0.69863,0.76853,0.44259,1.54117,1.13021,1.54932,0.0064,0.0064,0.0064
22,1357.7,1.39607,1.1568,1.46092,0.67313,0.49689,0.5332,0.28527,1.86936,1.94701,1.85942,0.00622,0.00622,0.00622
23,1419.83,1.45662,1.19785,1.49041,0.8899,0.74128,0.80293,0.47441,1.6217,1.09859,1.57021,0.00604,0.00604,0.00604
