epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.848,1.11962,0.78834,1.19657,0.96785,0.82596,0.89935,0.71256,0.82858,0.5995,1.09294,0.000467346,0.000467346,0.000467346
2,133.563,0.89179,0.70187,1.10657,0.94759,0.85127,0.90722,0.73375,0.77276,0.56568,1.08174,0.00090631,0.00090631,0.00090631
3,199.819,0.88107,0.66865,1.09482,0.97276,0.84146,0.89773,0.73814,0.75777,0.60236,1.0658,0.00130755,0.00130755,0.00130755
4,264.613,0.84448,0.67056,1.09249,0.93964,0.88118,0.91208,0.75455,0.76716,0.55926,1.07824,0.00125923,0.00125923,0.00125923
5,328.827,0.84707,0.67878,1.0986,0.94126,0.82397,0.86934,0.69922,0.80715,0.63989,1.11352,0.00120265,0.00120265,0.00120265
6,392.85,0.82588,0.66158,1.08403,0.95218,0.83714,0.89621,0.73635,0.73943,0.60477,1.0708,0.00114606,0.00114606,0.00114606
7,456.782,0.82611,0.66374,1.08728,0.93038,0.87103,0.90413,0.74366,0.71291,0.56415,1.04766,0.00108947,0.00108947,0.00108947
8,520.419,0.80985,0.62391,1.07665,0.97588,0.86012,0.90918,0.74345,0.75639,0.56944,1.0769,0.00103288,0.00103288,0.00103288
9,583.905,0.79071,0.61048,1.07076,0.9708,0.78801,0.87746,0.72497,0.76329,0.63589,1.0906,0.000976293,0.000976293,0.000976293
10,647.104,0.79926,0.62847,1.08503,0.96907,0.82591,0.91422,0.75695,0.69923,0.53549,1.05532,0.000919704,0.000919704,0.000919704
11,713.542,0.77352,0.60568,1.06148,0.89697,0.88733,0.91554,0.76264,0.67469,0.50956,1.03688,0.000863116,0.000863116,0.000863116
12,777.646,0.75437,0.58778,1.05644,0.94583,0.87902,0.92336,0.77824,0.6737,0.49918,1.032,0.000806528,0.000806528,0.000806528
13,844.006,0.74473,0.57465,1.04181,0.97763,0.85185,0.91366,0.76595,0.69065,0.53353,1.04161,0.000749939,0.000749939,0.000749939
14,907.339,0.74745,0.58414,1.04618,0.93491,0.8806,0.92176,0.78167,0.661,0.48559,1.02723,0.000693351,0.000693351,0.000693351
15,972.252,0.74853,0.58118,1.04774,0.90689,0.85519,0.90496,0.76835,0.65272,0.53055,1.01367,0.000636762,0.000636762,0.000636762
16,1042.73,0.63072,0.52394,1.00883,0.97569,0.84549,0.92257,0.77862,0.6887,0.51652,1.03507,0.000580174,0.000580174,0.000580174
17,1106.82,0.64539,0.51108,1.02878,0.96419,0.85682,0.90816,0.75979,0.68562,0.53957,1.04616,0.000523586,0.000523586,0.000523586
18,1171.48,0.62603,0.49175,1.01365,0.96482,0.87596,0.92351,0.77571,0.67416,0.50006,1.04314,0.000466997,0.000466997,0.000466997
19,1235.12,0.59829,0.46458,0.98804,0.92646,0.83638,0.89834,0.75404,0.68059,0.55141,1.03573,0.000410409,0.000410409,0.000410409
20,1300.64,0.61659,0.47232,1.00535,0.94849,0.8793,0.93223,0.78623,0.642,0.45797,1.00868,0.00035382,0.00035382,0.00035382
21,1364.27,0.58887,0.45626,0.97584,0.9532,0.88601,0.93246,0.78484,0.65913,0.47403,1.01931,0.000297232,0.000297232,0.000297232
22,1429.2,0.59475,0.46555,0.98143,0.9464,0.86559,0.9205,0.77947,0.64882,0.49007,1.01852,0.000240644,0.000240644,0.000240644
23,1493.34,0.5783,0.43253,0.97326,0.97347,0.86948,0.9273,0.78419,0.64296,0.46518,1.01672,0.000184055,0.000184055,0.000184055
24,1558.05,0.57707,0.44756,0.99278,0.96801,0.87927,0.92757,0.79307,0.64242,0.46597,1.0119,0.000127467,0.000127467,0.000127467
25,1622.5,0.55938,0.43516,0.96535,0.9762,0.87475,0.92816,0.78942,0.63968,0.46233,1.00939,7.08784e-05,7.08784e-05,7.08784e-05
